Title,Grade,CourseType,PrimaryCMI,SecondaryCMI,OptionalCMI,PrimaryMLG,SecondaryMLG,OptionalMLG,THCredit,PWLCredit,TrainingObjectivesJson
10B.1.1 Essential principles of Armament,Grade 12,BOTH,Ghata,Kartika,,,,,2,1,"[{""category"": ""SCIENTIFIC LITERACY"", ""text"": ""Know the essential principles of military aircraft armament.""}, {""category"": ""CRITICAL SKILLS"", ""text"": ""Apply safety precautions when handling armament-related equipment.""}]"
10B.1.2 Weapon systems,Grade 12,BOTH,Ghata,Kartika,,,,,1,2,
"10B.1.3 Crew Safety, Ejection seat",Grade 12,BOTH,Ghata,Kartika,,,,,1,2,"[{""category"": ""CRITICAL SKILLS"", ""text"": ""Understand crew safety procedures and ejection seat operation.""}, {""category"": ""GENERAL AVIATION"", ""text"": ""Know the raising of ejection seat awareness for pilot safety.""}]"
"10B.1.4 Ammunition Specific safety (storage, assembling, transports, destruction)",Grade 12,BOTH,Ghata,Kartika,,,,,1,0,
10B.1.5 Attack System Management,Grade 12,BOTH,Ghata,Kartika,,,,,1,0,
10B.1.6 Surveillance and electronic warfare,Grade 12,BOTH,Ghata,Kartika,,,,,1,2,
11B.1.1 Human factor,Grade 12,BOTH,Ghata,Kartika,,,,,2,2,
11B.1.2 Management in an industrial environment,Grade 12,BOTH,Ghata,Kartika,,,,,3,0,
11B.1.3 Cockpit and Team Maintenance resources management,Grade 12,BOTH,Ghata,Kartika,,,,,3,0,
7C.1.1 Introduction,Grade 12,TH,Ghata,Kartika,,,,,2,0,
7C.1.2 The Civil Aviation Industry,Grade 12,TH,Ghata,Kartika,,,,,2,0,
7C.1.3 Defense Aeronautics and Military Aviation,Grade 12,TH,Ghata,Kartika,,,,,2,0,
7C.1.4 Space Exploration and Industry,Grade 12,TH,Ghata,Kartika,,,,,2,0,
7C.1.5 Emerging Technologies in Aeronautics and Space,Grade 12,TH,Ghata,Kartika,,,,,2,0,
"7C.1.6 Career Paths in Civil, Defense, and Space Professions",Grade 12,TH,Ghata,Kartika,,,,,2,0,
12.1.1 3D modelling,Grade 12,BOTH,Rizky,Gita,,,,,0,8,
12.1.2 3D Print and assembly,Grade 12,BOTH,Rizky,Gita,,,,,0,8,
12.2.1 Basic of flight plan,Grade 12,BOTH,Ghata,Kartika,,,,,4,4,
12.3.1 Deep knowledge of aircraft maneuver and operation,Grade 12,BOTH,Rizky,Gita,,,,,4,8,
"12.3.2 Transmitter, localizer, technology embarked.",Grade 12,BOTH,Rizky,Gita,,,,,1,0,
12.3.3 RC plane flight,Grade 12,BOTH,Rizky,Gita,,,,,,,
12.3.4 Drone flight (flight plane),Grade 12,TH,,,,,,,0,6,
